Sample_id Subject_id Missing Gender SurvivalTime CensoringIndicator
S44 S44 0 0 19 0
S491 S491 0 0 21.6 0
S58 S58 0 0 11 0
S598 S598 0 0 17 0
S623 S623 0 0 7 0
S77 S77 0 0 12 0
S875 S875 0 0 15 0
S894 S894 0 0 17.5 0
S914 S914 0 0 11 0
S695 S695 0 0 9 1
S1249 S1249 0 0 11.2 0
S1354 S1354 0 0 12.2 0
S728 S728 0 0 15.2 0
S754 S754 0 0 33.2 1
S816 S816 0 0 20 1
S920 S920 0 0 14.2 0
S957 S957 0 0 31.2 1
S2098 S2098 0 0 22 1
S1236 S1236 0 0 11.4 0
S1239 S1239 0 0 11.4 0
S129 S129 0 0 24.4 1
S1322 S1322 0 0 14.4 0
S1452 S1452 0 0 20.4 0
S2013 S2013 0 0 19.4 1
S2055 S2055 0 1 19.8 1
S24 S24 0 0 17.4 1
S612 S612 0 0 14.4 0
S633 S633 0 0 9.9 0
S717 S717 0 0 14 1
S910 S910 0 0 18.4 0
S2031 S2031 0 0 12.5 1
S126 S126 0 0 17.5 0
S1220 S1220 0 0 11.7 0
S1319 S1319 0 0 17.7 0
S1325 S1325 0 0 13.7 0
S133 S133 0 0 18.7 1
S2118 S2118 0 0 15.7 0
S27 S27 0 0 13.7 0
S587 S587 0 0 34.7 1
S592 S592 0 0 8 0
S599 S599 0 0 11.7 0
S617 S617 0 0 17.7 0
S732 S732 0 0 12.1 0
S784 S784 0 0 22.7 0
S904 S904 0 0 19.7 0
S940 S940 0 0 10 0
S2124 S2124 0 0 13.7 1
S1366 S1366 0 0 11.7 0
S2141 S2141 0 0 12.8 1
S880 S880 0 0 19.8 0
S14 S14 0 0 11.9 0
S1238 S1238 0 0 11.9 0
S1450 S1450 0 0 17.9 0
S2110 S2110 0 0 15.9 0
S681 S681 0 0 13 1
S713 S713 0 0 11.9 0
S799 S799 0 0 14 1
S96 S96 0 0 20.9 1
S960 S960 0 0 13.9 0
S1264 S1264 0 0 12.2 0
S608 S608 0 0 17.2 0
S722 S722 0 0 18.2 0
S82 S82 0 0 21.2 1
S877 S877 0 0 23.2 0
S123 S123 0 0 13.3 0
S2096 S2096 0 0 14.3 1
S1464 S1464 0 0 20.5 0
S39 S39 0 0 16.5 1
S796 S796 0 0 14.5 0
S956 S956 0 0 15.5 0
S2079 S2079 0 0 14.5 1
S2083 S2083 0 0 12.6 0
S1217 S1217 0 0 12.6 0
S1224 S1224 0 0 13.8 0
S127 S127 0 0 26.8 0
S1352 S1352 0 0 12.8 0
S901 S901 0 0 22.8 0
S63 S63 0 0 13.1 0
S648 S648 0 0 20.1 0
S726 S726 0 0 19 0
S965 S965 0 0 13.1 0
S1404 S1404 0 0 15.4 0
S2145 S2145 0 0 32.4 1
S604 S604 0 0 16.4 0
S888 S888 0 0 19.4 0
S2009 S2009 0 0 31.8 1
S886 S886 0 0 21.8 0
S912 S912 0 0 20.8 0
S2104 S2104 0 0 15.9 1
S1213 S1213 0 0 9 0
S1278 S1278 0 0 23.1 0
S1375 S1375 0 0 14.1 0
S2097 S2097 0 0 31.1 1
S585 S585 0 0 16.1 0
S613 S613 0 0 14.1 0
S614 S614 0 0 21.1 0
S616 S616 0 0 22.1 0
S881 S881 0 0 24.1 0
S933 S933 0 0 27.1 0
S1356 S1356 0 0 23.5 0
S1448 S1448 0 0 26.5 0
S583 S583 0 0 26.5 0
S62 S62 0 0 14.5 0
S33 S33 0 0 14.8 0
S15 S15 0 0 15.8 0
S1226 S1226 0 0 14.9 0
S1405 S1405 0 0 19.9 0
S622 S622 0 0 19.9 0
S959 S959 0 0 41.9 1
S1209 S1209 0 0 27.3 0
S1300 S1300 0 0 15.3 0
S161 S161 0 0 29.3 0
S2059 S2059 0 0 29 1
S23 S23 0 0 17.3 0
S2041 S2041 0 0 16.8 1
S2082 S2082 0 0 19.8 0
S600 S600 0 0 15.8 0
S1402 S1402 0 0 21.3 0
S490 S490 0 0 29.3 0
S1059 S1059 0 0 21.8 0
S1252 S1252 0 0 16.8 0
S481 S481 0 0 16.8 0
S664 S664 0 0 37.8 1
S1216 S1216 0 0 17.4 0
S68 S68 0 0 40.4 1
S822 S822 0 0 22.4 0
S847 S847 0 0 27.4 1
S1461 S1461 0 0 27.8 1
S735 S735 0 0 30.5 0
S909 S909 0 0 26.5 0
S55 S55 0 0 20.3 0
S2106 S2106 0 0 22.8 1
S1263 S1263 0 0 22.7 0
S1389 S1389 0 0 29.7 0
S1260 S1260 0 0 26.1 0
S663 S663 0 0 30.7 0
S1286 S1286 0 1 6.5 0
S1290 S1290 0 0 23.4 0
S1329 S1329 0 0 7.6 0
S1367 S1367 0 0 12.5 0
S2149 S2149 0 1 3.4 0
S483 S483 0 0 7 0
S606 S606 0 0 8 0
S64 S64 0 0 10 1
S738 S738 0 0 12 1
S831 S831 0 0 5.8 0
S835 S835 0 0 20 1
S935 S935 0 0 7 0
